id,label,text
10,14856354 14844592,15637896 15711660 14849963 14925473 14976901 15637896 14853303 14849963 14925473 15252363 14782631 15637383 15697555 14727830 14849963 83 95 83 14851257 14925473 15252363 14785422 14779288 14779522 15252363 14785422 15706282 15710084 15252358 14785451 14850999 83 95 83 14849963 14925473 14782631 14846348 14847388 15252363 14925706 14723494 14782848 14924977 14853021 14853024 15252363 14728081 14722950 14853021 14925455 14853002 14785157 15252363 15631546 15697082 14849963 14925473 14976901 14849963 14925473 14856373 14728328 14858917 14782359 14793385 14791302 15252363 14781859 14719931 15252363 14925706 14924707 14721689 15252363 15708855 15708328 14925464 15697082 14849963 14976901 14849963 14925473 14783400 14781318 14849923 14721162 14782910 15708039 15252363 15636660 15632280 15252363 15706282 15710084 15631546 15697082 15710084 15699333 15252380 15710888 14924977 15641759 14853024 14788260 15252363 15637145 14860223 15699861 14785418 14720387 15699637 15710084 15252380 14849931 14782641 14783400 14781318 14849929 14846135 14849963 14925473 15252363 15697035 14786216 15636660 14925463 14924962 14846093 14844593 14924945 15638402 15706300 14790566 14859144 15252363 14788755 14852485 15710084 15699333 14854800 14924436 14976902 15710084 15699333 14925225 14859681 14723726 15252358 14779533 14848411 15252381 15710367 14785422 14849923 14853024 14717874 14846135 15252363 15637896 14782641 15637896 14850999 14849963 14859960 14783914 15252367 14859453 15706537 80 78 65 78 14779522 14844338 14925708 14783409 14849963 15252366 14976901
11,14924216 14781104 14717848 14791612,14925723 15639689 14858120 14859696 65 50 55 48 42 14852794 14860201 14782092 42 14847406 14718849 52 41 55 14925723 15639689 14858120 14859696 65 50 55 48 42 14852794 14860201 14782092 42 14847406 14718849 52 41 55 15710881 15710906 14925725 14847398 14728632 15252363 14925723 15639689 14858120 14859696 65 50 55 48 15640254 14720169 14925716 14717871
12,14856354 14844592,15710881 15710593 14786237 15697082 15710084 14859681 88 102 105 99 117 104 110 99 15710881 15638424 14723494 14718849 14856354 14844592
13,14924216 14781104 14717848 14791612,14782903 15634620 15708803 15706536 102 14782903 15634620 15708803 15706536
14,14924216 14781104 14717848 14791612,14727561 14785423 14848641 14850185 54 41 52 53 66 44 54 49
15,14856354 14844592,14853036 14854807 14854817 14854021 14854817 14925479 14851258 14854817 14782848 14846865
16,14924216 14781104 14717848 14791612,14925703 15706297 14925703 14728324 14849963 15706291 88 102 105 99 117 104 110 99 15699126 15706282 14849963 15706291 14728324 14925479
17,14786237 15697082 14722731 14924977,14924959 14925703 14925708 14844587 14846143 15640254 14720169
18,14786237 15697082 14722731 14924977,14925463 14854554 15709082 15697796 14847139 88 102 105 99 117 104 110 99 14717871 14925193 15706282 15636660 14783914 14781858 14859963 14844856 14851242 14858120 14785420 14846092 14720387 14852244 14849930
19,14783134 15697333 14854817 14925479,14717874 15635335 14785469 14851759 14925245 98 14717874 15635335 14785469 14851759 14925245 98
20,15630486 15702410 14718849 15709093,15630986 14925741 15636660 14849952 14858113 14782848 14854800 15710891 15706282 15636660
21,14782903 15634620 15638402 15706300,14924688 14791863 70 51 50 42 14846601 15638452 42 14854542 14846612 14847406 14718849 52 41 55 15710881 15710906 15640254 14720169 15252363 14844290 15631535 14859667 14717871
22,14783134 15697333 14854817 14925479,14780314 14859668 14854577 14857858 14854331 15709098 14726332 14728344 14785422 15638167 14724797 15634611 14857874 14721981 14785715 14853021 14925216 14849158
23,14786237 15697082 14722731 14924977,14781842 14858934 14924973 14782092 14785469 14724264 14781842 14858934 14924973 14782092 14785469 14724264
24,15630486 15702410 14718849 15709093,14723463 14791609 15709098 14721711 14785469 14717871 14925193 15634607 14859664 14925738 14720387 15709098 14721711 14785469 15710888 14924977
25,14786237 15697082 14722731 14924977,97 102 100 98 88 117 98 100 104 96 105 110 115 110 104 105 88 113 104 110 100 98 14788542 14781097 14925245 15696831 15706241 14847916 15252363 14780567 14721981 14789541 15710345 15706282
26,14782903 15634620 15638402 15706300,14727356 15706262 14853024 14844591 78 72 84 54 39 123 39 14844591 15706282 14721162 15252363 15706262 15632010 14844591 14718852 53 39 123 39 14853021 14859956 14846135 15252363 14785715 14847399 14726585 14844033 52 39 123 39 15708546 14924216 14781104 15252363 14723463 14846610 14854553 14717871 51 39 123 39 14785422 14923930 15637915 15252363 14785156 14856070 14727356 15706262 15697555 14782092 14720697 14859681 15252363 14785422 15632020 15252363 15710128 14789259 14925710 14853024 14727356 15706262 14859956 14846135 14782100 15632295 15252358 14847384 15697082 14723463 14791558 14859197 14853024 15252363 14846125 14925757 14727356 15706262 15697803 14717848 15252363 14846396 15638179 14728838 14853002 14782631 14717871 14847384 15697082 15252358 15042459 14853009 15637157 14720387 14925713 14717579 14858639 14726585 14858926 15252363 14853009 15637157 14720387 14925713 14717579 14858639 14782631 14852751 15042458 14976901 14925706 14924701 14853009 15706282 15252363 14846396 14849197 15630475 15631546 14858639 14858163 14858155 14976901 14846125 15704454 14785422 14925185 14785451 14727356 15706262 14856354 14844592 15252363 14782631 15706557 14850991 14925713 14717579 14720387 14849197 14925741 15704213 15701946 15252363 15631546 14925706 14858370 14781570 14858372 15706282 15708039 15634601 15639967 15252363 14853021 14721162 15706282 15708039 14727356 15706262 14847384 15697082 15697082 14853016 15706542 14924455 15706291 15708855 14858166 15708855 14976901 14727356 15706262 14856354 14844592 14853024 14844591 14785715 14847399 14720387 14714546 14791612 14976902 14717848 14791612 14846865 14976901 15641759 14783119 14715264 15641759 14849158 15709103 15252363 14788755 14860193 14925185 14925703 14925741 15637896 15711660 14727356 15706262 14925245 14849695 15710367 14782910 14924216 14976901 14925710 14789561 14727356 15706262 14854559 14924988 14924455 14781334 15632270 121
27,15632285 15706536 14721977 14925219,14785434 14853010 14782626 14846337 88 110 72 84 14785434 14853010 14782626 14846337 14786472 14925703 14789561 14786237 15697082 14721977 14925219 14782626 14846337 15252363 14717871 14782384 14846120 14924962 15632285 15710336 15706282 15636660 14849419 15696045 14713777 15706282 15708039 14858412 15632280 14847900 14859453 14782626 14725004 14859953 14847873 14925228 14728350 14852794 14846092 14976901
28,14782903 15634620 15638402 15706300,127 110 102 104 127 110 88 107 102 114 105 100 111 98 117 14858120 15704760 14844856 14724258 14785469 14851759 14925245 14925709 14847399 14844578 15706282 15636660 14925219 14925205 14976901
29,14783134 15697333 14854817 14925479,112 110 105 99 104 112 116 14721468 14728632 112 110 105 99 104 112 116 14721468 14728632 15252363 14859175 14847638 15252363 14857910 14849186
30,14856354 14844592,14858120 15709862 15642296 14724254 14858120 15709862 15642296 14724254 70 87 87 14785186 14782136 14780834 14858412 15632277 14844587 14846143 14785415 14849929 54 55 55 14726836 14720387 14858412 15632277 14785422 14845624 14782111 14723494 14849419 14791609 15632262 14785418 14847398 15252363 14849931 14782641 14782136 14780602 14782087 15709080 15709092 14721977 14846909 14720387 14782087 14785422 14858412 15632277 14846102 14924977 14785418 14847398 14976901 14858120 15709862 15642296 14724254 15710367 14846120 14924962 14847918 14717871 14859956 14846135 14783155 14849935 14720387 14721977 14846909 14785418 14847398 15708803 14794135 14925757 14717871 14782384 14780567 14924188 14853529 14845883 14785418 14847398 15252363 15698352 14858640 15639962 14853009 14783409 14720141 14976901 14858120 15709862 15642296 14724254 14720387 14924472 14849722 14786472 15632285 15710336 14925757 14721977 14846909 14717871 14782384 14780567 14924188 14858412 15632277 14976902 15637681 14848937 14976902 14859957 14791568 14976902 14854577 14783416 14723726 14721977 14846909 14717848 14791612 14785418 14847398 15252363 14925757 14717871 14782384 14782100 15632295 14924216 14781104 14976902 15699861 15632261 14976902 14794670 15638959 14976902 14785422 14849158 15709103 14976902 14846120 14923942 15708817 14720387 14721977 14846909 14717848 14791612 14924436 15641995 14976901
31,14924216 14781104 14717848 14791612,14844587 14925219 15705739 78 72 84 14844587 14925219 15705739
32,14924216 14781104 14717848 14791612,15706282 15636660 14925219 14925205 14728324 14925479 15706282 15636660 14925219 14925205 14728324 14925479
33,14783134 15697333 14854817 14925479,14713229 14715820 15638402 15706300 102 119 119 14786237 15697082 14717874 15704193 15638402 15706300 14726844 14859667 14717871
34,15632285 15706536 14721977 14925219,14849453 14849426 14848387 15708310 88 110 72 84 92 14849453 14849426 14848387 15708310 90 14845602 14859696 15710359 14847407 15252363 14858412 14925463 14717848 14791612 15252358 39 53 51 55 55 14925696 44 14717871 14782384 15631546 14850991 14924472 14717871 14720387 15708310 14789282 14976902 15642006 15705739 14976902 14845602 15711660 14856354 14844592 15252363 15637896 14782641 15637896 14850999 15706551 14858898 15710359 14847407 14783159 14781097 14976901 14849923 15640254 14781334 14782367 15708828 14925196 15252363 15706542 14924455 14850991 14924436 15641995 15710359 14847407 14858412 14779288 14720387 14849931 14782641 15252363 15710367 14785422 14785469 14924701 15698352 14858640 15710359 14847407 14852753 14847414 15252380 14785715 14785422 14714026 15634607 14726585 15632270 14976902 15706266 15639967 14925205 14847407 14976902 14859957 15709088 14847873 14925228 14723726 14791344 15630472 14726585 14858926 14844290 14854590 14723726 14719623 14924455 15252380 14924688 14853021 15708310 14789282 14716854 14852794 15697794 15697565 15637633 14925193 14789283 14925219 14791302 15708310 14789282 15710359 14847407 14858372 14858640 15252363 14854817 14925479 14785715 14853021 14845602 15711660 14719138 15706241 15252358 15708310 14789282 15252363 14858900 14713777 14717871 92 14849453 14849426 14848387 15708310 90 14782092 14785469 14859667 14717871 14976901
35,14924216 14781104 14717848 14791612,106 126 105 97 88 99 98 113 14844315 14925725 14780832 14847921 15710888 14924977
36,14782903 15634620 15638402 15706300,15706282 14925454 14791308 15706258 15641759 14791344 15645086 15706282 14925454 14791308 15706258 15641759 14791344 15645086
37,14924216 14781104 14717848 14791612,102 105 99 117 104 110 99 88 101 104 115 54 41 15706282 15636660 15697549 14853038 14854334 15706266
38,14924216 14781104 14717848 14791612,79 69 114 110 107 99 98 117 88 110 72 84 79 83 74 75 50 14785415 14924468 14721212 14847407 14859143 14846102 14856354 14844592 15252363 14924472 14717871 79 83 74 75 50 44 39 70 87 78 14858412 15632280 14859143 14846102 15708335 14859956 14846135 14720387 14721212 14847407 14859667 14717871 14976901 79 83 74 75 50 14925738 14851258 14925216 14925725 15697555 14720152 15252363 14723463 14721207 15042459 79 83 74 75 50 44 39 15697555 14720152 15042458 15252363 14786472 14925757 14925185 14785715 14852794 14720387 14780847 15710364 79 83 74 75 50 14720387 14848641 14717871 14976902 14785715 14852794 14720387 14925757 79 83 74 75 50 14859143 14846102 15697794 14785418 14847398 15697803 14717878 14925216 14925725 15635641 14925756 14791302 14846341 14848641 14844598 14849931 14728323 14782359 14720387 14925703 14925741 15697555 14720152 14976901 79 83 74 75 50 44 15704195 15698820 14720387 14779320 14786216 15252381 14788542 14781097 14859143 14846102 15697794 15637383 14792325 15252363 14925757 14844593 14780567 14924188 14853529 14859197 14720387 14847384 15697082 14976902 14780320 15697082 14782126 14857874 15704195 15698820 14976901 14782910 14924216 14859143 14846102 15697794 14859143 14846102 15708335 14859956 14846135 14720387 102 119 119 15252363 14859953 14780834 15710358 14846360 14717848 14720387 14847384 15697082 14849419 14780320 15697082 14976901
39,14782903 15634620 15638402 15706300,14925703 14728632 14846143 14785469 14721212 14847407 14859144 14792126 14727831 15710881
40,14782903 15634620 15638402 15706300,14782903 14786949 14858418 14787719 15710881 14848641 14782384 14724264 14782903 14786949 14858418 14787719 15710881 14848641 14782384 14724264 15706282 15636660 14783914 14781858
41,14786237 15697082 14722731 14924977,84 119 98 98 99 88 80 110 105 99 104 112 116 14782848 14854800 14849935 14782359 15706282 15636660 14782848 14924977 15252363 14859953 15710364 15705739 14783914 14783417 14976901
42,14924216 14781104 14717848 14791612,14846091 15706282 14858120 15706291 14846091 15706282 14849930 15701648 14854334 14713504 15638402 15706300 15252363 15706300 14849930 15701648 14854817 15699126 15706282 14976901
43,14844093 15705739 14854331 15699885,84 119 98 98 99 70 78 54 55 55 55 80 14781842 15708803 14718849 15709093 15706282 15636660 14847406 14782092
44,14844093 15705739 14854331 15699885,96 114 102 117 99 100 107 110 98 105 115 14850991 14728632 14783134 15697333
45,14786237 15697082 14722731 14924977,14852770 14844556 14782888 14723494 14854577 88 102 105 99 117 104 110 99 14720169 14847626 14925756 15704454 14847384 15697082 14925757 14724797 15710084 14780832 14847921
46,14924216 14781104 14717848 14791612,15637677 14925245 15706282 15636660 15706241 14847916 14791308 15706258 14791308 15706258 14925703 14925708 15710366 14925741 15706282 15636660 15706241 14847916 116 99 108
47,15632285 15706536 14721977 14925219,14717874 15635335 14785469 14851759 14925245 99 14717874 15635335 14785469 14851759 14925245 99
48,14924216 14781104 14717848 14791612,83 102 127 110 67 117 110 113 98 117 62 50 54 53 63 14844093 14721176 15710881 14925716 14717871 14846143 14785469 14724264
49,14924216 14781104 14717848 14791612,14925696 14850185 14925696 14844546 14925696 14850185 14925696 14844546 14786472 14925703 14789561 14925716 14925725 14717874 14847407 14792378 15710881 14844546 14717874 14785418 14847398 14859956 14846135 15252363 14717878 14859960 14925723 14925696 14850185 14925696 14844546 14717874 14847407 15710881 15710359 15701922 15697318 14924986 14785422 15638167 14844587 14846143 14859453 15706553 14859953 15710359 15701922 14976901 14925696 14850185 14925696 14844546 14844587 14846143 14924443 14925757 14717874 14847407 14792378 15710881 15710359 15701922 14785418 14847398 15705739 14925725 14720387 14844559 15705739 15697794 15252363 14783417 14719931 14844591 14718852 14782903 15697082 14794135 14846102 14857874 14788539 14857863 15252363 14924186 14782111 15042459 15710881 14727830 14846600 14849931 14846102 14857874 14976902 14844546 14717874 14844598 14925228 14976902 14786237 15697082 14727830 15697555 39 15042458 14846102 14857874 14790566 14859144 14925705 15042459 14854565 14782384 15696052 14925709 15252363 14717871 14858372 14785418 14847398 15252363 14849935 14924443 14847873 14925228 15252363 14846600 14849931 14846102 14857874 15042458 14720387 14854544 14782639 15252363 14790838 14859681 15702410 14849935 14844546 14717874 14727830 14976902 15710881 15697555 14727830 14976902 14925205 15697555 14727830 15708803 14794135 15252363 15632279 14789282 14782100 15632295 14924216 14781104 14976902 14858412 15632280 14976902 15699333 14719878 14976902 14715304 14923930 14976902 15704449 14720145 14844591 14851258 14780320 14720387 14717874 14847407 14792378 15710881 15710359 15701922 14785418 14847398 14727830 14728347 14976901 14925696 14850185 14925696 14844546 14925756 15704454 14925757 14717874 14847407 14792378 15710881 14844546 14717874 14780567 14924188 14854539 14848387 14720387 14785418 14847398 15252363 15710881 14925756 14846120 14924962 14924216 14781104 14850999 14784674 15706277 14847927 15711660 15710654 14720387 14844546 14717874 14788270 14859953 15710364 15705739 14854331 15699885 15252363 14782124 14780552 14844546 14717874 14788270 14925195 14728371 14722950 15252363 14925703 15635369 14849960 14847407 14844546 14717874 15252363 14782910 14924216 14858412 14781104 14976901
50,15630486 15702410 14718849 15709093,75 95 88 75 110 105 114 127 88 126 126 116 101 88 126 126 111 100 15706551 14858369 14715276 15706282 15636660 14854577 15706282 15636660 14925219 14925205 14847406 14782092
51,14856354 14844592,15706282 15636660 14849963 14844318 14717871 14925193 14854817 14925479 15706282 15636660 14849963 14844318 14717871 14925193 14854817 14925479
52,14786237 15697082 14722731 14924977,112 110 97 110 88 117 104 101 104 115 15697549 14853038 14976902 15636660 14925463
53,15632285 15706536 14721977 14925219,15706282 15636660 14714302 14789259 14846135 15706282 15636660 14714302 14789259
54,14783134 15697333 14854817 14925479,106 116 106 102 117 115 116 116 108 15706282 15636660 14780832 14847921 14786237 15697082 14854577 14717874 15252363 14786237 14779040 14846865
55,14924216 14781104 14717848 14791612,14782626 14925216 67 70 75 110 105 108 14925703 14789561 15630986 14849935 14782626 14925216 15710881 14850444 14924472 14717871 14720387 70 87 87 15252363 14846850 14781611 14854331 15699885 14976902 14850991 14728632 14850999 14851257 14976902 15636660 14925463 14723726 14847384 15697082 15252363 14859953 14783400 14781318 15706282 15636660 15706241 14847916
56,15630486 15702410 14718849 15709093,14925206 14784933 15634607 15706253 14785418 14847398 14925219 14925205 14726332 14728344 70 105 99 117 104 110 99 14850237 14925193 14857863 14850200 14727830 14720387 14846124 14846128 14726332 14728344
57,14844093 15705739 14854331 15699885,79 65 42 75 78 73 82 95 15710881 15710906 15706282 15636660
58,14844093 15705739 14854331 15699885,127 106 99 125 125 15710366 14786472 14925703 14789561 15637145 14860223 14852794 14715310 14720387 14794687 14782344 15252358
59,15632285 15706536 14721977 14925219,14787753 14784912 14856358 14787719 14787753 14784912 14856358 14787719
60,14786237 15697082 14722731 14924977,85 104 108 110 74 104 101 14786237 15697082 14846383 14717874 14925216 14849158 102 119 119
61,14924216 14781104 14717848 14791612,14853254 14728639 14859667 14717871 14853254 14728639
62,14786237 15697082 14722731 14924977,15706282 15636660 15706241 14847916 33 14849935 14782359 15706241 14847916 14925245 15706291 15706266 15252363 14859953 14728350 14844093 15706282 15636660 14851225 14853002 14976901
63,15630486 15702410 14718849 15709093,14858898 15636660 14848673 14858898 15636660 14848673 14924701 15706537 15706241 14847916 15710888 14924977
64,14924216 14781104 14717848 14791612,116 119 98 98 100 111 42 99 98 106 104 88 54 15706241 14847916 14844093 15636660 15639958 14925738 14720387 14782848 14854800 14923930 14854815 14924472 14717871
65,14856354 14844592,15638942 14849167 15698075 15710134 88 102 105 99 117 104 110 99 14782910 14924216 14717871 14782384 14924472 14717871 15706282 15636660 15710612 14844578 15252363 15710367 14785422 15698075 15710134 14785424 15706300 14847384 15697082
66,15630486 15702410 14718849 15709093,14925479 14925452 15697798 14785208 14856095 88 70 105 99 117 104 110 99 14925479 14925452 14721174 14781831 14782608 14925708 14720387 14925703 14789561 15042459 14721212 14847407 14925205 15697555 14727830 44 15042458 14786237 15697082 14859664 15635645 15704228 14844340 14782910 14788239 14925216 14849158 39 15632285 15710336 15637633 14925738 14723494 14780832 14849419 14847873 14784919 14783159 14781097 15252363 14860201 14847406 14854553 14924436 14859664 14924703 14846865 14848641 14849158 14976902 14785418 14847398 14846093 15710359 15701922 15252363 14785415 14728335 14854553 14715319 14925205 15697555 14727830 15710891 14850444 14976901
67,14782903 15634620 15638402 15706300,14728613 15697035 14858372 14728613 15697035 14858372 70 87 87 15252367 112 112 112 41 111 104 105 96 101 98 110 127 110 105 41 100 104 106 15252366 14925757 14854577 14857858 14785418 14847398 14848641 14854557 14847921 14720387 14782092 14785469 14780834 14846610 15710888 14924977 14976901 14785418 14847398 14848641 15632285 15710336 14728613 15697035 14858372 70 87 87 14846120 14924962 14854553 14715319 14791855 14844299 15709089 14846128 14976902 14781858 14924976 14780834 14846610 14976902 14781861 14846610 14976902 15639939 14728609 14791609 14856354 14976902 14854539 14856354 14846090 15638927 14849419 14854553 14782641 14780567 14715319 14723726 14847384 15697082 15252363 14783626 14924443 14723463 14846610 15252363 14782910 14924216 14858412 14781104 15252363 14786472 14785418 14847398 14848641 14780834 14846610 15708829 15635894 14849419 14844290 15631535 14723494 14718849 14720387 14721689 14851759 14976901
68,14726332 14728344 14854542 14844591,14727561 14717877 14860201 88 110 72 84 14727561 14717877 14860201 43 14720697 14925696 14727561 14717877 14860175 15631546 14716854 14717871 38 15042459 14925205 15697555 14727830 14849711 14847885 15706243 15632270 14720387 53 55 54 49 14859955 14859681 14852788 14780320 70 87 87 14847626 14925203 15042458 14727561 14717877 14860201 43 14785415 14846096 14789541 15710345 14720387 14727561 14717877 15704193 15639958 14783134 14854817 14721977 14846909 14846093 14785415 14925716 14925725 14720387 14727561 14717877 14717871 14849158 15710364 15709088 14848641 14850185 14925716 14791855 14925193 14727561 14717877 14782092 15699645 14925245 14720387 14781831 14785448 14925219 14791302 14976902 14925216 14849158 15710364 15709088 14723726 15637383 14792325 43 14925757 14717871 14782384 14780567 14924188 15252381 14976919 14782903 14925245 14721416 14847918 14976918 14782903 14791855 14844299 14717871 14782384 14846644 14846120 15639937 14846097 14782903 14925245 14924703 14779559 14847935 14721979 14846850 14976919 14791344 15630472 14727561 14851257 14976918 14726585 15632270 14782626 14785451 14976902 15636654 14851258 14976902 14789536 14727561 14723726 14785415 14782903 14785415 14793385 14727561 14717877 14789561 14859144 14851257 14716544 14788744 14853038 14785715 14782903 14976919 14925716 14925725 14783134 14725004 14976918 14785415 14925716 14925725 14720387 14727561 14717877 15704193 15639958 14783134 14854817 43 14716075 14854577 14792325 14783134 14725004 14847384 15697082 43 14727561 14717877 14853024 14849425 14925716 14925725 14781312 14854331 14976919 14789284 14849158 14716606 14846609 14976918 14727561 14717877 14853024 14716555 14844578 15642300 43 14788744 14782626 15634605 15709098 14716606 14924976 43 14720697 14925696 14727561 14717877 14860175 15632270 15709088 15705762 15709088 15710364 15709088 14720387 14844598 14849931 15632270 14781614 14976919 15710649 14925245 14721977 14846909 14976918 14792320 15697565 78 105 116 115 102 96 117 102 106 14976902 14858665 14846621 14723726 14849923 15708328 14791344 14844290 14853009 14727561 14717877 15710649 14925245 43 14844598 14849931 14847873 14925228 14727561 14717877 14847900 14924443 14849419 15704198 15704228 43 14925703 15708848 14782359 15635128 14719896 14854553 14717871 14782384 15706291 15252381 15042459 74 74 14924971 14779572 15704454 14924962 14785415 14852794 14785415 14858412 14720387 15632280 14859681 14858640 14719138 14858900 14854820 15252367 14727561 14717877 14789561 14859144 15252366 14791302 15705739 14844548 14726055 15252363 14785422 14727561 14717877 14860201 15710366 14789561 15710888 14924977 14858166 14853016 14925185 15252358 15042458 15042451 15042451 14858120 14718359 14726289 14784923 39 15042459 14850991 15252367 14727561 14717877 14925216 14849158 15252366 15710364 15709088 14794663 15632020 14925709 15252363 14924937 14846360 14785186 14720387 14925706 14924701 14781334 15709088 15252363 14847927 14715319 14850991 14720387 14778501 15709088 14976902 15706241 15709088 15042458 15042451 15042451 14924703 14852521 14727561 14717877 15042459 14924937 14727561 14717877 14860201 15630475 14854817 14847927 14858639 14853021 14727561 14717877 14719138 15706241 14924962 14846093 14859143 14859664 14728328 15641995 15252363 14925464 14860201 14782358 14924971 14791308 15706258 14849923 14721162 15697073 14720387 14924703 14847396 15042458 15042451 15042451 121 15709825 14854807 121 15042459 14849923 14850999 14720387 14727561 14717877 14853024 14721689 15631546 15697565 15637633 14850991 14727561 14717877 14860201 15252363 14785422 15634601 15639967 15631546 14785422 14852794 14853021 14925245 14860201 14858398 15704228 14844340 15042458 15042451 15042451 14846091 53 15042459 14850237 14785451 14717871 15710336 14782087 14785422 14727561 14717877 14859667 14717871 15252363 14785415 14848411 14789541 15710367 14786472 15710366 14925741 14976901 15042458 15042451 15042451 14845365 14856064 14720387 14848434 14786456 14925245
69,14856354 14844592,14727561 14847406 14782092 14859664 15635645 14783409 15635633 14858120 14847406 14782092
70,14856354 14844592,15706282 15636660 15710891 14782848 14854800 88 78 72 84 14791308 15706258 54 15706282 15636660 15710891 14782848 14854800 78 72 84 14791308 15706258 54
71,14783134 15697333 14854817 14925479,14858412 14720387 14924964 15642297 110 72 84 14858412 14720387 14782100 15710881 14782903 14925725 14847398 14858412 14720387 14924964 15642297 15252363 15637383 15704454 14924472 14717871 83 83 84 14859154 14783625 14976901
72,15632285 15706536 14721977 14925219,115 98 127 115 101 104 104 108 88 119 98 119 88 102 105 99 117 104 110 99 15699126 15706282 15706297 14785451 14849963 15706291
